company,page_title,no_views
Microsoft,Microsoft_Flight_Simulator_2000,2
Microsoft,Microsoft_Flight_Simulator_2002,1
Microsoft,Microsoft_Flight_Simulator_2004:_A_Century_of_Flight,3
Microsoft,Microsoft_Flight_Simulator_2024,3
Microsoft,Microsoft_Flight_Simulator_3.0,1
Microsoft,Microsoft_Flight_Simulator_4.0,2
Microsoft,Microsoft_Flight_Simulator_5.0,2
Microsoft,Microsoft_Flight_Simulator_X,3
Microsoft,Microsoft_Flight_Simulator_for_Windows_95,2
Microsoft,Microsoft_Forms,7
Microsoft,Microsoft_Foundation_Class_Library,1
Microsoft,Microsoft_FreeCell,2
Microsoft,Microsoft_FrontPage,2
Microsoft,Microsoft_Game_Studios,1
Microsoft,Microsoft_Games,1
Microsoft,Microsoft_Gaming,17
Microsoft,Microsoft_Garage,1
Microsoft,Microsoft_Golf,1
Microsoft,Microsoft_Graph,1
Microsoft,Microsoft_HealthVault,1
Microsoft,Microsoft_Hearts,1
Microsoft,Microsoft_Help_Viewer,1
Microsoft,Microsoft_HoloLens,1
Microsoft,Microsoft_Home,1
Microsoft,Microsoft_Host_Integration_Server,1
Microsoft,Microsoft_ISA_Server,2
Microsoft,Microsoft_Ignite,1
Microsoft,Microsoft_India,2
Microsoft,Microsoft_InfoPath,1
Microsoft,Microsoft_Intune,6
Microsoft,Microsoft_Java_Virtual_Machine,2
Microsoft,Microsoft_Kinect,1
Microsoft,Microsoft_Language_Portal,1
Microsoft,Microsoft_Loop,2
Microsoft,Microsoft_Lumia,1
Microsoft,Microsoft_Lumia_535,1
Microsoft,Microsoft_Lumia_640,1
Microsoft,Microsoft_Lumia_950_XL,1
Microsoft,Microsoft_Management_Console,1
Microsoft,Microsoft_Math_Solver,1
Microsoft,Microsoft_Minesweeper,3
Microsoft,Microsoft_Mobile,3
Microsoft,Microsoft_Mobile_Reseller_Store,1
Microsoft,Microsoft_Money,1
Microsoft,Microsoft_Mouse,1
Microsoft,Microsoft_Music_Central,1
Microsoft,Microsoft_NetMeeting,1
Microsoft,Microsoft_Office,50
Microsoft,Microsoft_Office_2001,1
Microsoft,Microsoft_Office_2003,3
Microsoft,Microsoft_Office_2004_for_Mac,1
Microsoft,Microsoft_Office_2007,8
Microsoft,Microsoft_Office_2008_for_Mac,2
Microsoft,Microsoft_Office_2010,3
Microsoft,Microsoft_Office_2013,1
Microsoft,Microsoft_Office_2016,8
Microsoft,Microsoft_Office_2019,4
Microsoft,Microsoft_Office_2021,9
Microsoft,Microsoft_Office_2024,5
Microsoft,Microsoft_Office_2024_for_Mac,1
Microsoft,Microsoft_Office_95,1
Microsoft,Microsoft_Office_Accounting,1
Microsoft,Microsoft_Office_Groove,1
Microsoft,Microsoft_Office_Picture_Manager,6
Microsoft,Microsoft_Office_XML_formats,3
Microsoft,Microsoft_Office_XP,3
Microsoft,Microsoft_Office_for_Mac_2011,1
Microsoft,Microsoft_Office_shared_tools,1
Microsoft,Microsoft_OneDrive,1
Microsoft,Microsoft_OneNote,7
Microsoft,Microsoft_Outlook,24
Microsoft,Microsoft_POSIX_subsystem,2
Microsoft,Microsoft_Paint,31
Microsoft,Microsoft_Pay,1
Microsoft,Microsoft_Photo_Editor,1
Microsoft,Microsoft_PixelSense,1
Microsoft,Microsoft_Planner,3
Microsoft,Microsoft_Plus!,6
Microsoft,Microsoft_Plus!_for_Windows_XP,1
Microsoft,Microsoft_PowerPoint,80
Microsoft,Microsoft_PowerToys,7
Microsoft,Microsoft_Power_Automate,3
Microsoft,Microsoft_Power_BI,23
Microsoft,Microsoft_Power_Platform,4
Microsoft,Microsoft_Power_Point,1
Microsoft,Microsoft_Press,1
Microsoft,Microsoft_Project,7
Microsoft,Microsoft_Publisher,17
